.geo
"{""type"":""Point"",""coordinates"":[23.736307340746308,37.94139722019187]}"
"{""type"":""Point"",""coordinates"":[23.758516161330654,37.81460001694167]}"
"{""type"":""Point"",""coordinates"":[23.74047611409216,38.105166203438706]}"
"{""type"":""Point"",""coordinates"":[23.80517921233259,38.09247276846776]}"
"{""type"":""Point"",""coordinates"":[23.81874085578012,38.08186517999818]}"
"{""type"":""Point"",""coordinates"":[23.686698429538602,37.94471220577561]}"
"{""type"":""Point"",""coordinates"":[23.765582031403582,38.00160269736423]}"
"{""type"":""Point"",""coordinates"":[23.765689143609663,37.96943442665623]}"
"{""type"":""Point"",""coordinates"":[23.75569144265159,38.08961690578159]}"
"{""type"":""Point"",""coordinates"":[23.731410563744486,37.92328598861632]}"
"{""type"":""Point"",""coordinates"":[23.735913602957964,37.940427394007855]}"
"{""type"":""Point"",""coordinates"":[23.7418569173146,37.994780424465176]}"
"{""type"":""Point"",""coordinates"":[23.74177415087728,38.02470192769746]}"
"{""type"":""Point"",""coordinates"":[23.71611736708798,37.91272775689255]}"
"{""type"":""Point"",""coordinates"":[23.78023986661512,38.13516820593191]}"
"{""type"":""Point"",""coordinates"":[23.75432848268172,37.945894113032885]}"
"{""type"":""Point"",""coordinates"":[23.7590171906824,37.85568803884325]}"
"{""type"":""Point"",""coordinates"":[23.75207242002498,37.95176812541745]}"
"{""type"":""Point"",""coordinates"":[23.625561704157008,37.973832069442146]}"
"{""type"":""Point"",""coordinates"":[23.742805340938094,38.099520932521905]}"
"{""type"":""Point"",""coordinates"":[23.691439736377465,37.97958183074647]}"
"{""type"":""Point"",""coordinates"":[23.803096627514268,38.077201136258594]}"
"{""type"":""Point"",""coordinates"":[23.803942512410696,38.04061667154988]}"
"{""type"":""Point"",""coordinates"":[23.765945567717914,38.07209781107343]}"
"{""type"":""Point"",""coordinates"":[23.721052526439095,37.90281850348241]}"
"{""type"":""Point"",""coordinates"":[23.74378285651324,37.87898636698415]}"
"{""type"":""Point"",""coordinates"":[23.67962427029461,38.025044132199675]}"
